岗位名称,单位名称,省份,月薪范围(k),招聘人数,学历要求,专业要求,单位性质,单位规模,福利标签,发布时间,职位ID
动物实验员,启昇（上海）生物科技有限公司,上海,4.0-5.0,1,专科及以上,,港澳台公司,50-99人,五险一金，带薪年假，岗位晋升，定期体检，年终奖，年度旅游，节日礼物，零食水果，班车接送,2026-07-15 10:04,Qz7PyAdjdpXb87c6F5YnHn
工艺储备干部,江苏瑞尔隆鼎实业有限公司,江苏,5.5-6.5,30,专科及以上,数控技术 机电 机械 自动化,民营企业,100-499人,岗位晋升，技能培训，年终奖，高温补贴，免费加班餐，提供住宿，班车接送,2026-07-15 00:07,PC1cC5UCdtf9HmVcmCZhwx
技术储备干部,江苏瑞尔隆鼎实业有限公司,江苏,5.5-6.5,30,专科及以上,数控技术 机电 机械 自动化,民营企业,100-499人,岗位晋升，技能培训，年终奖，高温补贴，免费加班餐，提供住宿，班车接送,2026-07-15 00:03,GP63NdYjpScEFVXDp7TBN6
储备干部2027届,广州觉罗信息科技有限公司,福建,2.0-3.0,2,专科及以上,计算机，人工智能，建筑，设计，工程，软件，互联网，电子商务,民营企业,100-499人,,2026-07-15 20:43,Sqo5sCnxGvZAaUhQBHVJGu
资料员（实习生）2027届,安徽保进建设工程有限公司,全国,2.0-3.0,2,专科及以上,消防，建筑消防，森林消防，防火，司法，安保，物业，建筑，工程，计算机,民营企业,1-49人,,2026-07-15 20:38,PRirJD4rs5umzaWMFgESy3
新媒体运营,湖北策智科技有限公司,全国,3.0-3.5,10,专科及以上,,民营企业,1-49人,,2026-07-15 19:41,HiYNxW9GWUFqcfQrNtkUch
早九晚六法定休息有绩效不限经验招长期实习生,山东智沐数字科技有限公司,山东,3.0-7.0,50,不限,不限专业,民营企业,100-499人,岗位晋升，技能培训，绩效奖金，节日礼物，提供住宿,2026-07-15 17:44,LnXaJaJ2DdQoWz8xUz4inj
总经理助理实习生,江苏蛙鸣文化传媒有限公司,江苏,3.0-5.0,1,专科及以上,商务英语 英语 翻译,民营企业,1-49人,,2026-07-15 17:03,Duy7G8nSvTaiYyDqYViZk1
小语种跨境电商运营助理,杭州启迪电子商务有限公司,浙江,3.0-6.0,10,本科及以上,语言专业,民营企业,50-99人,,2026-07-15 16:50,THNErPsUCgwfmZ1WWCzjfV
实习管培生,百得（苏州）精密制造有限公司,江苏,3.8-6.0,50,专科及以上,工科专业 机械专业,外商独资/外企代表处,1-49人,,2026-07-15 16:43,9m4wgjUb1b4XHHxJpgWquB
ai机器人数据采集-包住宿-社保,江西创焱智科数据有限公司,江西,3.0-5.0,20,专科及以上,计算机大类 人工智能 智能制造 机械大类 不限专业,民营企业,100-499人,,2026-07-15 15:22,S7hAPKvvaBk1QmnsvwzEch
数据采集岗-人工智能-00后氛围好,江西创焱智科数据有限公司,江西,3.0-5.0,10,专科及以上,计算机大类 人工智能 智能制造 机械大类 不限专业,民营企业,100-499人,,2026-07-15 15:22,N1jy9GHGBvUYSSssaHy8xx
机器人教导老师-带薪培训-超前体验,江西创焱智科数据有限公司,江西,3.0-5.0,10,专科及以上,计算机大类 人工智能 智能制造 机械大类 不限专业,民营企业,100-499人,,2026-07-15 15:21,WdAsYXuhKJBHCqDpH8WHqp
机器人启蒙老师,江西创焱智科数据有限公司,江西,3.0-5.0,10,专科及以上,计算机大类 人工智能 智能制造 机械大类 不限专业,民营企业,100-499人,,2026-07-15 15:21,2ncHKDK4p5V8wBWneNJD4r
机器人饲养员,江西创焱智科数据有限公司,江西,3.0-5.0,10,专科及以上,计算机大类 人工智能 智能制造 机械大类 不限专业,民营企业,100-499人,,2026-07-15 15:21,HBZT8kYZcBVq4ARz9XPWy9
钢铁学生教练，训练钢铁侠,江西创焱智科数据有限公司,江西,3.0-5.0,10,专科及以上,计算机大类 人工智能 智能制造 机械大类 不限专业,民营企业,100-499人,,2026-07-15 15:21,UVD2gZebJrLMrEPhTok9Xm
机器人饲养员，教导它变成钢铁侠！!,江西创焱智科数据有限公司,江西,3.0-5.0,10,专科及以上,计算机大类 人工智能 智能制造 机械大类 不限专业,民营企业,100-499人,,2026-07-15 15:21,7QKuxmcA64PMBYZh5nK3Rs
机器人采集训练师-朝九晚六-包住宿,江西创焱智科数据有限公司,江西,3.0-5.0,20,专科及以上,计算机大类 人工智能 智能制造 机械大类 不限专业,民营企业,100-499人,,2026-07-15 15:21,TzUijgrBw3HodCpjDCDi45
外资汽车部件生产制造,天津中辉智造企业管理咨询有限公司,全国,5.0-6.0,20,不限,汽车 新能源 机电 电气 机械 工业机器人,民营企业,1-49人,,2026-07-15 15:21,AQbHzT2WvdZDjtrWmfP2WF
25届实习转正/全职机构教师【包住可小白】,大瀚(广州)文化有限公司,广东,7.0-9.0,15,本科及以上,物理 化学 汉语言 英语 数学,民营企业,100-499人,,2026-07-15 15:07,2u6RS4umxWrzBbg8Unu6V7
前台接待,宁波得力酒店管理有限公司宁海喜来登酒店分公司,浙江,2.5-3.0,4,专科及以上,酒店管理 旅游管理 会务管理 其他专业,民营企业,100-499人,,2026-07-15 14:54,KJ7WMJEba6ChuaqYdoYPp6
烹饪实习生,宁波得力酒店管理有限公司宁海喜来登酒店分公司,浙江,2.6-3.5,2,不限,烹饪相关专业,民营企业,100-499人,,2026-07-15 14:54,8dDSdNckxVRTnZTJ427XUG
餐饮服务员,宁波得力酒店管理有限公司宁海喜来登酒店分公司,浙江,2.5-3.0,6,专科及以上,酒店管理 旅游管理 会务管理 其他专业,民营企业,100-499人,,2026-07-15 14:54,2y3jAMSQFEijZuBSFRNpqM
前台接待,建德市资投酒店管理有限公司,浙江,2.5-3.0,2,不限,酒店管理 旅游管理 会务管理 其他专业,国有企业,100-499人,,2026-07-15 14:51,Wiyg22Vzc2S3HK5pWHWiit
餐饮服务员,建德市资投酒店管理有限公司,浙江,2.5-3.0,10,不限,酒店管理 旅游管理 会务管理 其他专业,国有企业,100-499人,,2026-07-15 14:51,XDE7RKc3gdiHvtMiU5YSnK
厨房实习生,建德市资投酒店管理有限公司,浙江,2.5-3.0,3,不限,烹饪,国有企业,100-499人,,2026-07-15 14:51,CfTephEhAjdLvtazVPwwdV
助剂开发实习生（实习1个月）,广州方中化工有限公司,广东,2.5-4.0,5,本科及以上,植物保护 农药学 化学类 材料类,民营企业,100-499人,,2026-07-15 14:42,MhrXdZa5fGEQ2YYD4pU9Yq
技术拆改配,上海华胄网络科技有限公司,上海,3.0-4.0,10,专科及以上,,民营企业,50-99人,,2026-07-15 14:23,MP2gDw1G1WuQ28hixcmvAx
环境设计（2027届实习生）专科,广州觉罗信息科技有限公司,福建,2.0-3.0,2,专科及以上,计算机，人工智能，建筑，设计，工程，软件，互联网，电子商务,民营企业,100-499人,,2026-07-15 11:01,LptVbwiwNGASKd1eoAatQ2
平面设计实习生,成都极光社科技有限公司,四川,2.0-3.0,1,本科及以上,广告视觉 平面设计 数字媒体,民营企业,1-49人,,2026-07-15 10:35,KuxuihneZDSU6CSiaSiyoD
具身智能机器人采集训练师-包住宿-氛围好,中穆海诚（嘉兴）科技有限公司,浙江,3.0-5.0,10,专科及以上,计算机大类 人工智能 智能制造 机械大类 不限专业,民营企业,100-499人,,2026-07-15 10:32,5nmNxihhjjmrgFJ6nJAMSf
AI数据训练师-可开实习证明-包住宿,中穆海诚（嘉兴）科技有限公司,浙江,3.0-5.0,10,专科及以上,计算机大类 人工智能 智能制造 机械大类 不限专业,民营企业,100-499人,,2026-07-15 10:32,Pi5x7Mde8vxKTd1Ttf7b7a
办公室实习生2027届,安徽三颗花生网络科技有限公司,福建,2.0-4.0,2,专科及以上,计算机，人工智能，建筑，设计，工程，软件，互联网，电子商务,民营企业,50-99人,,2026-07-15 10:28,9sE5QR5LFRQSMUDaP9GxTi
销售助理 ,中景纬视（苏州）光学科技有限公司,江苏,4.5-6.5,2,专科及以上,眼视光 医学,民营企业,50-99人,,2026-07-15 09:43,JGv2AiSYFWmqMoUeJoFN27
太原小店区 数据采集,北京瑞世盛誉科技发展有限公司,山西,3.0-4.0,10,专科及以上,,股份制企业,100-499人,,2026-07-15 09:22,7PRgZXuuctgiP1DZ7efHdQ
太原市小店区数据采集,北京互联智行科技有限公司,山西,3.0-4.0,10,专科及以上,,民营企业,100-499人,,2026-07-15 09:21,6GuTbwAZ4fECZn7bGyh1EW
品牌运营-实习生,江苏新广华机电工程有限公司,江苏,3.0-5.0,2,专科及以上,,民营企业,50-99人,,2026-07-15 09:15,TpGbV4RPzdezTWWEhdNq2V
前台接待,苏州工业园区金鸡湖大酒店有限公司阳澄湖澜廷酒店,江苏,3.6-4.5,30,不限,酒店管理 市场营销 财务管理 旅游管理 新媒体营销 工商管理,国有企业,100-499人,五险一金，岗位晋升，弹性工作，定期体检，高温补贴,2026-07-15 08:59,VFVrQpMPnV2uWZyC1xFh7D
客房服务员,苏州工业园区金鸡湖大酒店有限公司阳澄湖澜廷酒店,江苏,3.0-3.5,50,专科及以上,酒店管理 市场营销 财务管理 旅游管理 新媒体营销 工商管理,国有企业,100-499人,五险一金，岗位晋升，弹性工作，定期体检，高温补贴,2026-07-15 08:59,D8eAyfrKU6NbvsQJeUK7q9
前厅部    前台接待,苏州工业园区金鸡湖大酒店有限公司阳澄湖澜廷酒店,江苏,3.0-3.5,50,专科及以上,酒店管理 旅游管理 财务管理 市场营销,国有企业,100-499人,五险一金，岗位晋升，弹性工作，定期体检，高温补贴,2026-07-15 08:59,GGcVXXrQwasNZmyEZUwo5Y
HR 人事 招聘解答 专员,青岛昂丰人力资源有限公司,山东,6.0-8.0,4,专科及以上,人力资源 会计 计算机 销售 客服 电商 大数据 学前教育 物业 工商管理 智能制造 电气自动化,其他,500-999人,五险一金，岗位晋升，技能培训，弹性工作，绩效奖金，节日礼物，提供住宿,2026-07-14 19:32,Qycsw7t6zsmtBgnVwDJPvK
冲压 模具 数控 生产操作技工,黄岛区万立宝机械中心,山东,7.0-8.0,10,专科及以上,材料 智能制造 机电一体化技术 模具设计与制造 机械制造与自动化 数控技术 智能控制电气自动化技术 工业机器人技术 智能机器人技术 制冷与空调技术,其他,100-499人,五险一金，带薪年假，技能培训，弹性工作，定期体检，年底双薪，绩效奖金，高温补贴，节日礼物，零食水果,2026-07-14 18:49,K2dGzcmKfeobozc72EFFHD
车险专员,中国大地财产保险股份有限公司长沙中心支公司,湖南,3.0-6.0,5,专科及以上,,股份制企业,5000以上,五险一金，带薪年假，岗位晋升，技能培训，绩效奖金，住房补助，提供住宿,2026-07-14 15:10,qRnsgyQ6TgQFjgYc2eBK8
汽车销售,浙江五菱汽车销售服务有限公司,浙江,10.0-15.0,10,专科及以上,汽车检测与维修 汽车营销 汽车商务 新能源技术,民营企业,100-499人,,2026-07-14 14:42,WWY3rUT7zWvVjfQZyQy1hF
CNC数控技术员,江苏瑞尔隆鼎实业有限公司,江苏,5.5-6.5,50,专科及以上,数控技术 机电 机械 自动化,民营企业,100-499人,岗位晋升，技能培训，年终奖，高温补贴，免费加班餐，提供住宿，班车接送,2026-07-14 10:50,Eer2nf9uqRjcwcVxYi4tM1
行政实习,连洋航务集团有限公司,上海,2.0-5.0,1,本科及以上,人力资源管理 劳动关系 秘书学 行政管理 档案学 旅游管理 酒店管理 外语,民营企业,100-499人,五险一金，岗位晋升，技能培训，扁平管理，绩效奖金，午餐补助，高温补贴，零食水果,2026-07-14 10:37,UCWoNasX4LWtzAzaQkxQP5
设备操作员（实习生）,广东弘景光电科技股份有限公司,广东,5.5-7.0,60,专科及以上,自动化 电气自动化技术 数控技术 机电一体化技术 工业机器人技术 机器人工程 磨具设计与制造 机械制造与自动化 机械装备制造技术 机械设计制造与自动化 电气工程及其自动化 机械设计与制造 智能控制技术 智能制造装备技术 工业机器人技术 新能源汽车技术 汽车检测与维修专业 汽车电子技术 汽车制造与装配技术 电子信息工程 计算机应用技术 无人机应用技术 电子信息工程技术,股份制企业,1000-4999人,五险一金，带薪年假，岗位晋升，技能培训，定期体检，年底双薪，绩效奖金，节日礼物，提供住宿,2026-07-14 09:53,3huo9SbqcYEKkMvF8eQNEp
自动焊接工艺实习生,黄岛区万立宝机械中心,山东,7.0-8.0,15,专科及以上,焊接 智能制造 机电一体化技术 模具设计与制造 机械制造与自动化 数控技术 智能控制电气自动化技术 工业机器人技术 智能机器人技术,其他,100-499人,五险一金，带薪年假，技能培训，弹性工作，定期体检，年底双薪，绩效奖金，高温补贴，节日礼物，零食水果,2026-07-14 09:09,QZECa6ViaJ3cMZGcpJzBu7
【仔细阅读后投递】2027届6个月以上普工实习生,东南（福建）汽车工业股份有限公司,福建,4.0-5.5,100,专科及以上,汽车 机械 新能源 自动化 机械设计制造类 机电设备类 自动化类 铁道装备类 船舶与海洋工程装备类 航空装备类 汽车制造类,国有企业,5000以上,五险一金，带薪年假，岗位晋升，技能培训，定期体检，扁平管理，绩效奖金，午餐补助，提供住宿，班车接送,2026-07-14 08:47,6R28iKBdSo4H7jiF23t3iJ
环境设计（2027届实习生）专科,浙江寿海农业开发有限公司,江西,2.0-5.0,2,专科及以上,计算机，人工智能，建筑，设计，工程，软件，互联网，电子商务,民营企业,1-49人,,2026-07-14 08:21,M1s2yHzq9uCtACBjK2eAob
新媒体/AI应用方向实习生,江苏常居房地产营销策划有限公司,江苏,3.0-5.0,2,专科及以上,数字媒体技术,民营企业,1000-4999人,五险一金，带薪年假，岗位晋升，技能培训，弹性工作，年终分红，扁平管理，专项奖金，绩效奖金，节日礼物,2026-07-14 08:16,TKiWJ7oDmn5HGQ7gH62CRB
结构设计师,武汉骅耀工程技术有限公司,湖北,3.0-5.0,3,专科及以上,结构工程 建筑工程 土木工程,民营企业,1-49人,,2026-07-14 23:00,QvMRxo8c9D7xtuzGqP2Uzi
国企销售实习生（提供房补餐补）,中国大地财产保险股份有限公司海南分公司,广东,5.0-10.0,8,专科及以上,,股份制企业,500-999人,带薪年假，岗位晋升，技能培训，年终奖，节日礼物,2026-07-14 18:55,GQV2PCUs9DcmZtVDBTJt9v
测量实习生,浙江交工装备工程有限公司,浙江,2.0-3.0,3,专科及以上,测量 测绘,国有企业,100-499人,,2026-07-14 16:39,5C8zb6JS7JTJj9VxvdcuYY
幼儿园实习生,金职伟业集团有限公司,全国,1.5-2.5,100,专科及以上,婴幼儿托育服务与管理专业/早期教育教育专业/护理学专业,民营企业,100-499人,,2026-07-14 16:15,KgMJkJdu2icgiAdUXKcGq6
幼儿园配班老师,金职伟业集团有限公司,全国,1.5-2.5,100,专科及以上,婴幼儿托育服务与管理专业/早期教育教育专业/护理学专业,民营企业,100-499人,,2026-07-14 16:15,DF2MLmZ2iYy6aw4DKHR4H4
基恩士2027校园大使招募,基恩士（中国）有限公司,全国,1.0-3.0,10,本科及以上,,外商独资/外企代表处,员工数量,,2026-07-14 16:14,AGf7GJbBZ7NJpAoTA1vLY5
审计实习生（审计助理方向）,北京亚联拓博科技有限公司,北京,2.0-2.5,40,本科及以上,会计学 财务管理 审计学 税务 金融 经济学,民营企业,1-49人,,2026-07-14 16:08,2J18Xh5Taf1KKtBghQsmS7
网络运营,宁波悦洋医疗科技有限公司,浙江,2.0-4.0,2,专科及以上,市场营销/电子商务/网络营销/医疗器械经营/其他,民营企业,1-49人,,2026-07-14 15:36,EWmGEgjETBN3pZo6KyTML9
猎头顾问助理,冰鉴人才信息科技（青岛）有限公司,山东,3.0-5.0,0,专科及以上,物流管理 人力资源,民营企业,50-99人,五险一金，技能培训，扁平管理，专项奖金,2026-07-14 15:11,AP1xc6FuLjv5me5HjuMFaD
猎头顾问实习生,冰鉴人才信息科技（青岛）有限公司,山东,2.0-3.0,3,不限,专业不限,民营企业,50-99人,五险一金，技能培训，扁平管理，专项奖金,2026-07-14 15:11,47NhRWnTHoJ1WkPMTp4xK3
AI视频剪辑实习生,北京鼎帷管理顾问有限公司,重庆,2.0-3.0,2,本科及以上,,民营企业,1-49人,五险一金，带薪年假，岗位晋升，技能培训，扁平管理，年度旅游，节日礼物,2026-07-14 15:03,9ngyRRv9bLMpoPEWo8bgTu
人力资源研究实习生,北京鼎帷管理顾问有限公司,重庆,2.0-3.0,5,本科及以上,,民营企业,1-49人,五险一金，带薪年假，岗位晋升，技能培训，扁平管理，年度旅游，节日礼物,2026-07-14 15:02,7KyFuJ9fSPEzmgoNfdsBSo
行研实习生,北京鼎帷管理顾问有限公司,重庆,2.0-3.0,5,本科及以上,,民营企业,1-49人,五险一金，带薪年假，岗位晋升，技能培训，扁平管理，年度旅游，节日礼物,2026-07-14 15:01,7qw36Tq8BKBPeqxDRR5KDT
AI视频剪辑实习生,北京鼎帷管理顾问有限公司,重庆,2.0-3.0,2,本科及以上,,民营企业,1-49人,五险一金，带薪年假，岗位晋升，技能培训，扁平管理，年度旅游，节日礼物,2026-07-14 14:53,MRYx9L4L4UpSWNURE2u5TC
人力资源研究实习生,北京鼎帷管理顾问有限公司,重庆,2.0-3.0,3,本科及以上,,民营企业,1-49人,五险一金，带薪年假，岗位晋升，技能培训，扁平管理，年度旅游，节日礼物,2026-07-14 14:52,F4YQM5WSCGPueMVWFzXL93
行研实习生,北京鼎帷管理顾问有限公司,重庆,2.0-3.0,5,本科及以上,,民营企业,1-49人,五险一金，带薪年假，岗位晋升，技能培训，扁平管理，年度旅游，节日礼物,2026-07-14 14:50,QQpn2JuCJWwsZUJLt8ye4y
人事实习生,露乐健康科技（上海）有限公司,上海,3.0-4.0,1,本科及以上,人力资源管理,民营企业,1000-4999人,,2026-07-14 13:44,3jKLuZ95ZDfT7DJ2pgmKMc
计算机实习生2027届,上海辉然档案信息技术有限公司,全国,2.0-5.0,6,专科及以上,计算机，人工智能，建筑，设计，工程，软件，互联网，电子商务,民营企业,100-499人,,2026-07-14 13:10,3gWVCfUeqgR8r5v1TU6Tuz
基恩士2027校园大使招募,基恩士（中国）有限公司,全国,1.0-3.0,10,本科及以上,,外商独资/外企代表处,员工数量,,2026-07-14 13:06,Dhvkuu7ARCrguVAZ2nrZjQ
应届生（机械）,浙江美亚特精密机械有限公司,浙江,6.0-8.0,10,专科及以上,数控技术、机电一体化、机械设计及制造、机器人技术,民营企业,100-499人,,2026-07-14 12:07,XZrTohYtdQdEvNR2caacxc
应届生（销售）,浙江美亚特精密机械有限公司,浙江,5.0-8.0,2,专科及以上,数控技术、机电一体化、机械制造及自动化、机器人技术、市场营销、,民营企业,100-499人,,2026-07-14 12:07,VEuiHGBFs3iqRJBs6QXNiB
前台/会服/文员（提供食宿）[实习]——前台/会服/文员（提供食宿[实习]——,北京泛舟科怡科技有限公司,北京,3.0-5.0,5,不限,,民营企业,1-49人,,2026-07-14 11:35,5q1jpji28FY52kZYuA9dXw
技术员,天津东皋膜技术有限公司,天津,4.0-6.0,50,专科及以上,,股份制企业,100-499人,,2026-07-14 11:08,CnrDYPEQ1BcjkYyUa5cfHJ
石家庄 视频剪辑 ,北京瑞世盛誉科技发展有限公司,河北,3.0-5.0,10,本科及以上,,股份制企业,100-499人,,2026-07-14 10:04,ALVikgNm3MPvE87uNKNotE
烹饪后厨实习生,上海昂达餐饮管理有限公司,上海,3.8-20.0,500,不限,烹饪、烘焙、西点、高级饭店经营与管理,民营企业,500-999人,五险一金，岗位晋升，技能培训，年终分红，股票期权，定期体检，年终奖，年底双薪，免费加班餐，提供住宿,2026-07-14 09:46,JktKmvwbPYB92CpNkiHEpq
业务专员（实习）,北京外航服务有限责任公司,上海,2.7-3.0,1,本科及以上,英语 经济管理,国有企业,1-49人,,2026-07-14 09:24,LCy42VHqiRziqFfzPBudR9
智能清洁机器人组装,天津中辉智造企业管理咨询有限公司,天津,4.0-6.0,20,专科及以上,机电 电气 机械 新能源 电子信息 物联网 机器人 无人机 自动化 微电子,民营企业,1-49人,,2026-07-14 09:13,N2Sct2HacALx6JkA52Mno9
编辑实习生,上海交通大学出版社有限公司,上海,0.8-1.0,2,硕士及以上,,国有企业,100-499人,,2026-07-14 09:06,HtFFgHozojRerEDRZ23TzJ
校园学术运营助理,温斯顿合创（山东省）人工智能科技有限公司,全国,5.0-10.0,100,本科及以上,计算机类 电子信息类 自动化类 电气类 机械类 土木类 交通运输类 航空航天类 船舶与海洋工程类 控制科学与工程 仪器类 材料类 化工与制药类 环境科学与工程类 能源动力类 矿业类 安全科学与工程类 测绘类 水利类 建筑类 工商管理类 金融学类 经济学类 会计学 财务管理 法学类 教育学类 中国语言文学类 新闻传播学类 外国语医学类 护理学类 药学类 公共言文学类 数学类 统计学类 物理学类 化学类 生物科学类,外商独资/外企代表处,1-49人,技能培训，专项奖金，绩效奖金,2026-07-14 08:34,TwJez6uEGuSBE7Er7H9ctE
计算机（暑假工）2028届2029届,龙口携手传媒有限公司,江西,2.0-3.0,4,专科及以上,计算机，人工智能，建筑，设计，工程，软件，互联网，电子商务,民营企业,50-99人,,2026-07-14 08:16,FZuJtmcGorJvyUoCtoMjF
室外测绘实习生,安徽保进建设工程有限公司,全国,2.0-3.0,4,专科及以上,建筑，测量，测绘，工程，造价，设计，物业，绘图、园林、环境设计,民营企业,1-49人,,2026-07-14 08:14,6wU2Tahwqu9gETqSC7ups8
建筑造价,浙江豪阁建设有限公司,浙江,1.0-10.0,1,不限,建筑类、工程造价,民营企业,50-99人,,2026-07-14 08:05,8x4V1Mf4gdW3ZHP3n7tNL9
品质技术员,中汽新能（无锡）电池科技有限公司,江苏,5.0-6.0,20,专科及以上,汽修 新能源 机电 电气 自动化 工业机器人 人工智能 化工 计算机,国有企业,1000-4999人,五险一金，技能培训，午餐补助，提供住宿,2026-07-13 23:34,UrUtHVkuYXjHXMC1yoMX4w
设备技术员,中汽新能（无锡）电池科技有限公司,江苏,5.0-6.0,20,专科及以上,汽修 新能源 机电 电气 自动化 工业机器人 人工智能 化工 计算机,国有企业,1000-4999人,五险一金，技能培训，午餐补助，提供住宿,2026-07-13 23:21,S9Cf1h2AsHzaSD4ik99nWm
生产技术员,中汽新能（无锡）电池科技有限公司,江苏,5.0-6.0,20,专科及以上,汽修 新能源 机电 电气 自动化 工业机器人 人工智能 化工 计算机,国有企业,1000-4999人,五险一金，技能培训，午餐补助，提供住宿,2026-07-13 23:17,VYCa4SLk5N8wMFCEWMum5q
电商视觉设计实习生,深圳市方寸灵诺科技有限公司,广东,5.0-8.0,1,本科及以上,,股份制企业,1-49人,,2026-07-13 18:25,9sYDcDaJqZ5fBxWipLWFtq
世界模型算法实习生,深圳市方寸灵诺科技有限公司,广东,5.0-8.0,1,不限,,股份制企业,1-49人,,2026-07-13 18:24,87PFDtt5zsjucFBK3oRi6H
插画与角色设计实习生,深圳市方寸灵诺科技有限公司,广东,5.0-8.0,1,不限,,股份制企业,1-49人,,2026-07-13 18:21,LTHwknAg4JHm1A2XcxSRNN
汽车制造生产学徒,芜湖捷途汽车销售有限公司,安徽,5.0-8.0,50,专科及以上,汽车制造与装配技术 建筑工程技术 计算机应用技术 机电一体化技术 工业机器人技术 新能源汽车技术 新能源汽车检测与维修技术 电气自动化 数控技术 智能焊接技术 城市轨道交通运营管理 电子应用技术 物联网技术 模具设计 车辆工程 机械设计制造 土木工程 电气工程 自动化 新能源装备技术 汽车检测与维修技术 机电设备技术 机械制造及自动化 电子信息工程技术 智能控制技术 焊接技术 智能制造技术 应用电子技术,民营企业,1000-4999人,五险一金，带薪年假，岗位晋升，技能培训，定期体检，高温补贴，节日礼物，免费加班餐，提供住宿，班车接送,2026-07-13 15:47,D2JAFLALFLLSbZmzApNDhx
财务BP,杭州虹翼信息科技有限公司,浙江,3.0-3.2,1,本科及以上,财务,民营企业,1-49人,带薪年假，岗位晋升，弹性工作,2026-07-13 14:44,RLpij1mae1nxnG6pQQM7Y
行政专员,杭州虹翼信息科技有限公司,浙江,3.0-3.2,1,本科及以上,,民营企业,1-49人,带薪年假，岗位晋升，弹性工作,2026-07-13 14:43,CpyKmEFGwaybhQTvUBnC7q
秘书岗,杭州虹翼信息科技有限公司,浙江,3.0-3.2,1,本科及以上,,民营企业,1-49人,带薪年假，岗位晋升，弹性工作,2026-07-13 14:42,KksxeVzZeoPbtmNeoAuKG9
【27届】产品工程储备技术员 | 包吃住+双休+有人带,广东创世纪智能装备集团股份有限公司,江苏,5.0-7.0,25,专科及以上,自动化 机电一体化 电气自动化 数控技术 模具设计 机械制造 制造业 机电,上市公司,5000以上,带薪年假，岗位晋升，技能培训，绩效奖金，节日礼物，零食水果,2026-07-13 12:33,KyxTJ7JGDCqSRsrtJLocon
 27届实习储备干部+周末双休+不上夜班,柯尼卡美能达商用科技（东莞）有限公司,广东,5.0-6.0,30,专科及以上,机械工程 机械设计制造及其自动化 工业工程 材料科学与工程 高分子材料与工程 电子信息工程 电气工程及其自动化 自动化 控制工程 仪器科学与技术 计算机科学与技术 过程装备与控制工程 车辆工程 航空航天工程 工业设计 精密仪器与机械 机电一体化工程 测控技术与仪器 机器人技术 新能源科学与工程 信息与通信工程 建筑环境与能源应用工程 制造工程与自动化 能源与动力工程 航空电子工程 光电信息科学与工程 物流工程 数据科,合资企业,1000-4999人,五险一金，岗位晋升，年终分红，年终奖，年底双薪，交通补助，节日礼物，免费加班餐，零食水果，提供住宿,2026-07-13 12:18,BmT25BVdwNi1Yh2cWaY5Vo
生产技术员,芜湖普威技研有限公司,安徽,5.5-8.0,35,专科及以上,数控 模具 机电一体化 自动化 电气 电子（信息）类 机械（电子/设计）工程类 应用电子类 机器人 智能类,民营企业,500-999人,五险一金，带薪年假，岗位晋升，技能培训，提供住宿,2026-07-13 11:43,FjJg33XZFb9Mrb8oPgSvmH
储备干部实习生,尼得科电机（浙江）有限公司,浙江,5.5-7.0,20,专科及以上,数控 模具 机电一体化 自动化 电气 电子（信息）类 机械（电子/设计）工程类 应用电子类 机器人 智能类,外商独资/外企代表处,1000-4999人,五险一金，带薪年假，岗位晋升，年终奖，年底双薪，高温补贴，零食水果,2026-07-13 11:26,5iwDAGc7v282e7Dmeh6q51
【26届】智能制造实习生储干,东莞市联光科技有限公司,广东,5.0-7.0,20,专科及以上,机电一体化 工业机器人 汽车工程类 大数据技术 电气自动化 工业过程自动化技术 新能源汽车 智能焊接技术 数控技术 智能制造 电子应用技术 电子设备维修 计算机技术,民营企业,500-999人,五险一金，带薪年假，岗位晋升，技能培训，年终奖，年底双薪，绩效奖金，交通补助，高温补贴，提供住宿,2026-07-13 10:56,9agAffuiEdBWuNnhgCegH2
中企盈飞（北京）会计服务有限公司,中企盈飞（北京）会计服务有限公司,上海,2.0-3.0,10,专科及以上,会计专业或者财务管理专业,民营企业,50-99人,岗位晋升，技能培训，绩效奖金，提供住宿,2026-07-13 10:54,14Jkpb8bLX1dFCd2419SUC
cnc实习生/学徒,东莞市华茂电子集团有限公司,广东,8.0-10.0,25,专科及以上,自动化 机电一体化 电气自动化 数控技术 模具设计 机械制造 制造业 机电,民营企业,5000以上,五险一金，带薪年假，岗位晋升，年终奖，年度旅游，提供住宿，班车接送,2026-07-13 10:36,HcgVhKPDK82szTDCtiA2YT
乌镇-AI人工智能训练师,泰安聚星信息科技有限公司,浙江,2.0-5.0,30,专科及以上,计算机 人工智能 编程 大数据 网络技术 物联网 行政,民营企业,100-499人,岗位晋升，绩效奖金，住房补助，节日礼物，提供住宿,2026-07-13 10:18,ToVu854cpofg8J3WXgdxfT
EDA软件测试工程师,苏州异格技术有限公司,江苏,7.0-9.0,3,本科及以上,,民营企业,100-499人,五险一金，带薪年假，年终分红，股权激励，交通补助，午餐补助,2026-07-13 09:53,DJeCvrr4S8xnXHNmdhEvZa
